ID,Water,Developed,Forest,Farm,Wetlands,OtherUndeveloped
157,0,0,434,0,53,0
158,0,0,320,0,25,0
159,0,0,396,0,0,5
160,0,0,445,0,0,8
161,0,0,431,0,0,0
162,2,3,159,71,11,0
163,2,9,287,59,0,19
164,8,57,91,41,0,98
165,0,0,308,11,18,8
166,1,0,328,2,0,0
167,0,1,139,113,8,0
168,0,0,194,161,32,0
169,0,0,526,0,0,0
170,0,0,501,0,0,5
171,0,1,236,0,25,134
172,0,0,175,0,140,40
173,0,0,294,0,0,31
174,0,0,283,10,0,10
175,0,0,334,1,12,70
176,0,0,36,0,0,469
177,14,0,343,10,0,50
178,36,1,241,1,0,38
179,0,1,179,1,0,50
180,10,0,195,173,0,0
181,0,0,123,249,1,0
182,0,0,385,43,0,0
183,13,2,340,12,0,0
184,0,1,326,0,0,0
185,1,5,336,6,0,3
186,1,5,201,1,0,13
187,0,1,214,55,0,41
188,6,0,235,103,0,29
189,0,2,84,278,0,40
190,0,0,189,160,0,35
191,0,0,324,22,0,84
192,3,0,122,142,0,47
193,1,0,255,36,44,0
194,1,1,285,33,17,0
195,0,4,227,21,8,6
196,0,0,295,21,0,7
197,2,0,125,187,0,0
198,0,2,36,337,0,3
199,0,1,201,75,0,15
200,0,0,205,40,0,68
201,0,0,520,0,0,1
202,0,0,358,0,0,8
203,0,0,474,0,0,11
204,0,0,426,0,9,0
205,6,0,384,0,0,0
206,84,0,450,0,0,0
207,0,2,43,257,0,2
208,0,1,161,15,0,151
209,0,0,294,76,0,22
210,4,0,195,23,24,18
211,0,4,132,46,0,13
212,0,0,285,4,41,1
213,0,1,286,0,72,31
214,0,0,504,0,0,3
215,0,2,363,0,0,5
216,0,1,117,11,0,259
217,0,0,77,5,223,112
218,0,0,241,0,197,1
219,0,0,190,0,191,4
220,0,0,127,0,383,3
221,0,0,26,0,199,196
222,0,1,104,0,45,193
223,0,0,308,16,21,0
224,0,2,140,108,0,32
225,0,2,98,125,0,30
226,0,3,262,32,0,4
227,0,0,176,70,0,0
228,0,63,53,16,0,0
229,0,36,221,0,0,1
230,0,76,63,3,0,0
231,15,0,158,4,2,85
232,1,0,202,96,0,29
233,1,4,231,45,0,19
234,0,0,289,5,0,67
235,4,0,177,108,0,119
236,0,0,45,44,0,290
237,0,0,170,128,0,44
238,0,1,36,343,0,0
239,6,1,40,289,1,0
240,21,5,98,239,0,0
241,0,1,253,45,0,0
242,0,1,261,51,0,0
243,0,0,75,439,0,0
244,0,0,456,109,0,0
245,0,0,529,0,0,0
246,0,0,402,0,0,3
247,0,0,409,0,0,22
248,0,0,477,0,0,2
249,0,0,371,0,14,0
250,0,0,324,0,0,7
251,43,0,489,0,0,0
252,0,0,162,326,0,5
253,0,0,450,0,0,31
254,0,0,39,0,10,426
255,0,0,64,2,167,110
256,101,2,84,65,50,24
257,30,0,156,83,41,11
258,0,0,321,12,0,2
259,0,1,303,78,0,0
260,0,0,369,45,0,8
261,0,0,223,2,155,25
262,0,0,102,0,367,25
263,2,0,241,16,97,3
264,0,0,332,11,1,29
265,0,0,553,0,0,38
266,0,0,537,0,9,0
267,18,0,221,45,21,0
268,3,0,137,129,32,0
269,4,0,59,291,0,0
270,10,0,144,153,0,22
271,0,1,304,1,2,7
272,0,0,383,12,0,6
273,0,18,85,15,5,0
274,0,24,86,0,0,0
275,0,17,141,2,0,8
276,27,0,265,1,17,0
277,1,1,287,1,0,0
278,0,1,182,85,0,3
279,0,0,346,1,6,28
280,0,8,177,35,0,4
281,0,2,187,24,0,19
282,0,1,52,98,0,123
283,0,0,143,155,0,88
284,1,0,142,229,0,0
285,0,0,242,56,0,2
286,11,170,216,4,0,48
287,1,54,213,25,0,0
288,0,0,91,383,0,0
289,0,0,514,55,0,0
290,0,0,461,0,0,6
291,0,0,486,0,0,0
292,0,0,543,0,0,3
293,0,0,427,0,0,0
294,0,0,387,0,0,0
295,0,0,408,1,1,14
296,45,0,467,0,0,0
297,0,1,172,178,0,4
298,0,0,404,40,0,13
299,0,0,351,0,39,74
300,0,0,188,0,243,12
301,1,0,155,120,0,35
302,0,0,205,109,0,0
303,0,5,279,44,0,0
304,0,5,202,52,0,8
305,0,0,106,241,24,5
306,0,0,70,0,450,0
307,0,0,279,0,107,7
308,0,0,266,38,64,0
309,0,0,396,11,0,0
310,0,0,491,0,0,6
311,0,0,342,87,0,2
312,2,0,172,178,0,1
313,0,0,291,62,2,2
314,0,0,139,164,0,31
315,0,0,327,24,0,8
316,0,0,439,0,0,0
317,0,0,377,22,4,0
318,0,2,298,6,0,0
319,0,8,115,7,0,55
320,0,0,315,14,0,0
321,46,5,258,12,22,0
322,1,1,283,21,0,5
323,0,2,312,25,0,1
324,0,1,230,0,0,60
325,0,2,106,213,0,8
326,0,1,117,40,0,85
327,0,0,156,38,0,30
328,2,0,64,192,0,111
329,0,0,10,304,0,19
330,1,0,218,53,0,25
331,0,11,272,2,0,34
332,0,1,265,68,0,78
333,0,0,375,0,0,0
334,0,0,507,0,0,0
335,0,0,487,0,0,12
336,0,0,473,0,0,4
337,0,0,446,0,0,2
338,0,0,570,0,0,0
339,0,0,338,0,0,1
340,11,0,494,0,0,5
341,32,0,188,1,45,0
342,8,1,251,2,0,17
343,0,2,424,4,0,10
344,0,0,260,9,126,3
345,0,0,458,22,7,33
346,8,0,147,284,0,1
347,0,0,56,112,3,206
348,0,0,68,200,3,132
349,4,4,86,163,0,2
350,0,0,124,35,265,0
351,0,0,189,27,192,1
352,0,12,168,122,6,13
353,0,30,43,224,34,1
354,0,7,184,15,47,2
355,0,0,399,3,0,0
356,3,0,133,217,0,8
357,1,1,89,248,0,15
358,3,0,175,57,0,7
359,0,1,28,258,0,20
360,2,0,295,135,0,0
361,0,0,276,0,62,3
362,3,0,185,150,51,0
363,0,0,161,49,0,101
364,0,0,362,3,0,18
365,1,1,183,119,0,0
366,2,0,244,0,35,4
367,0,1,226,9,13,11
368,17,0,398,16,0,9
369,3,0,122,280,0,42
370,5,0,7,388,0,54
371,0,0,46,305,0,161
372,2,0,171,165,0,84
373,0,0,130,147,0,6
374,2,0,129,128,0,3
375,0,2,148,5,0,230
376,0,0,250,14,0,212
377,9,0,483,0,0,30
378,0,0,468,0,0,8
379,0,0,361,5,0,5
380,0,0,493,10,0,0
381,0,2,370,4,11,0
382,0,0,299,2,6,56
383,5,0,304,28,0,58
384,16,0,526,0,1,0
385,39,0,496,0,1,0
386,0,0,453,0,0,1
387,0,1,336,3,0,31
388,0,0,101,131,82,7
389,0,0,268,119,0,4
390,6,0,11,465,0,0
391,0,0,135,166,44,2
392,0,0,250,49,4,0
393,4,0,226,39,70,0
394,0,0,183,0,152,0
395,0,0,198,156,0,0
396,10,6,292,9,0,9
397,0,55,51,97,0,1
398,1,23,146,21,20,1
399,0,1,219,7,0,2
400,10,0,171,58,3,0
401,1,0,295,66,0,0
402,0,0,319,104,0,0
403,0,0,56,414,0,6
404,0,0,321,145,6,0
405,0,0,129,282,0,1
406,70,0,74,102,10,1
407,0,0,173,41,16,25
408,0,0,146,24,103,0
409,0,0,217,115,7,0
410,0,4,168,3,44,48
411,6,0,126,77,101,7
412,11,0,304,1,3,69
413,76,0,24,378,0,0
414,0,0,12,465,0,17
415,3,0,279,68,0,8
416,7,0,160,162,0,29
417,0,2,22,393,0,34
418,0,2,102,226,0,0
419,0,0,144,317,0,0
420,0,0,341,60,0,126
421,0,0,202,0,0,346
422,0,0,173,0,0,241
423,0,0,58,295,0,120
424,0,1,170,54,0,42
425,0,1,209,53,0,11
426,0,0,134,86,0,8
427,8,0,47,200,3,73
428,34,0,387,0,2,7
429,17,0,443,0,0,0
430,1,0,290,24,3,3
431,1,0,285,0,90,12
432,3,0,279,1,47,0
433,0,0,143,264,0,0
434,0,0,38,344,59,0
435,0,0,50,172,171,36
436,0,0,50,72,92,199
437,0,0,227,76,66,26
438,0,0,459,0,25,0
439,8,0,300,34,46,1
440,0,0,211,0,34,115
441,4,4,173,215,0,0
442,3,7,23,260,0,0
443,2,0,411,11,0,0
444,6,0,285,134,0,1
445,0,0,200,219,0,12
446,0,0,124,290,5,0
447,67,0,79,229,1,0
448,7,0,31,488,0,0
449,9,0,185,157,0,3
450,19,0,195,39,4,2
451,0,0,163,67,56,6
452,0,0,328,0,0,36
453,2,0,217,1,83,0
454,0,0,262,6,2,38
455,0,1,197,94,14,41
456,10,0,298,37,1,0
457,0,0,266,147,0,0
458,0,0,343,22,0,28
459,0,0,395,0,0,2
460,0,0,288,9,2,82
461,0,0,71,186,25,150
462,0,0,92,292,12,2
463,0,0,210,281,0,0
464,0,0,425,22,0,0
465,0,1,430,71,0,0
466,0,0,376,0,0,50
467,0,0,142,188,0,118
468,0,2,184,146,0,21
469,1,1,117,155,1,38
470,0,0,205,65,39,1
471,8,0,74,269,6,56
472,6,0,151,0,14,162
473,0,0,145,0,0,311
474,0,0,358,0,0,5
475,0,0,235,100,0,0
476,3,1,39,489,0,0
477,0,0,141,110,134,0
478,0,1,79,72,4,225
479,0,0,260,0,0,205
480,0,0,349,1,0,35
481,0,0,449,0,47,0
482,0,0,265,0,136,0
483,0,0,306,14,0,1
484,1,0,229,11,0,86
485,5,0,301,69,0,1
486,0,0,163,149,0,7
487,0,0,147,161,1,0
488,0,1,101,302,0,0
489,2,0,225,254,0,0
490,2,0,95,290,0,0
491,0,0,38,408,0,0
492,0,0,335,182,0,0
493,0,0,339,17,6,0
494,0,3,121,65,0,112
495,1,0,270,59,0,3
496,0,0,225,66,0,1
497,0,0,312,0,13,1
498,0,0,403,11,0,6
499,0,8,288,1,1,1
500,0,0,364,50,0,12
501,0,1,193,78,0,4
502,0,0,136,225,0,0
503,0,0,286,138,0,20
504,0,0,97,2,4,297
505,0,0,80,244,39,5
506,0,0,308,123,0,25
507,0,0,140,334,0,3
508,0,0,181,111,0,6
509,0,0,208,5,0,160
510,1,0,151,0,0,273
511,3,1,139,1,3,110
512,0,0,277,15,38,25
513,0,2,120,122,41,6
514,7,0,125,274,0,6
515,16,0,151,2,0,158
516,0,0,301,0,62,0
517,0,1,176,158,0,6
518,38,0,162,102,0,4
519,0,0,268,15,0,86
520,7,0,15,489,0,0
521,0,1,128,175,0,44
522,0,0,286,0,5,136
523,0,0,279,0,2,43
524,0,0,223,0,9,64
525,0,1,332,18,0,0
526,2,2,378,20,0,0
527,0,0,190,1,0,67
528,3,0,54,313,10,0
529,0,0,258,9,173,0
530,0,0,167,0,47,152
531,0,0,330,0,132,1
532,0,0,362,0,146,2
533,0,0,144,0,264,0
534,0,0,278,0,127,1
535,4,0,85,70,59,186
536,0,0,206,49,20,104
537,14,0,178,8,4,40
538,3,0,183,119,0,34
539,6,1,292,60,0,3
540,1,0,326,72,0,0
541,0,1,198,244,0,0
542,0,0,7,539,0,0
543,0,0,110,396,0,0
544,0,0,289,220,0,0
545,0,0,334,62,0,13
546,0,0,112,82,0,148
547,3,3,238,14,3,17
548,0,0,218,8,57,6
549,0,0,110,1,114,256
550,0,0,136,33,71,67
551,0,0,272,15,95,1
552,0,0,66,192,2,2
553,0,2,96,40,50,8
554,0,0,59,115,263,0
555,0,0,97,170,148,47
556,0,0,452,0,13,53
557,0,0,165,150,35,36
558,0,0,128,135,9,84
559,0,0,59,418,0,1
560,0,0,132,276,0,0
561,0,2,457,44,0,0
562,0,0,515,0,0,5
563,0,0,209,55,9,4
564,0,0,380,13,5,4
565,7,0,272,106,4,0
566,0,0,151,201,7,10
567,48,0,189,105,2,0
568,0,0,231,133,3,0
569,2,0,277,178,4,0
570,9,0,190,197,0,0
571,0,0,150,95,0,88
572,0,0,101,294,1,8
573,6,0,19,363,4,0
574,0,0,264,90,0,51
575,0,0,253,13,6,108
576,0,0,94,45,1,237
577,0,0,171,98,41,23
578,0,0,237,89,36,0
579,0,0,317,0,46,3
580,0,0,102,51,79,0
581,0,0,102,9,191,35
582,0,0,380,0,90,2
583,0,0,523,0,0,23
584,0,0,137,0,0,261
585,0,0,283,34,36,0
586,5,0,269,73,5,5
587,12,0,309,5,71,7
588,0,0,195,0,115,82
589,0,0,203,0,63,40
590,0,0,179,0,66,117
591,0,0,301,0,53,2
592,0,0,366,0,0,72
593,0,0,513,6,0,0
594,6,1,126,275,0,0
595,7,0,125,320,1,0
596,0,0,140,143,13,120
597,0,1,255,23,4,111
598,87,0,83,17,3,59
599,3,0,97,205,0,54
600,0,0,383,1,0,19
601,7,0,198,83,0,94
602,0,0,178,52,0,6
603,4,0,229,94,0,0
604,30,1,52,208,0,0
605,2,0,83,83,37,106
606,3,0,157,16,109,82
607,1,0,228,22,57,40
608,0,0,83,8,362,0
609,0,0,41,111,194,97
610,0,0,75,361,2,0
611,0,0,2,421,0,7
612,0,2,84,228,0,10
613,0,1,222,60,0,1
614,0,0,410,0,0,0
615,0,0,229,6,0,0
616,0,1,366,6,0,3
617,0,2,349,4,0,0
618,0,0,470,0,0,3
619,48,0,352,43,0,0
620,0,0,144,288,0,0
621,0,0,306,113,3,0
622,5,0,128,227,0,0
623,0,0,69,399,0,8
624,3,0,110,263,0,0
625,0,0,194,123,8,0
626,1,0,130,91,14,0
627,28,2,47,299,0,13
628,13,3,18,379,0,7
629,0,1,252,65,0,1
630,0,4,125,55,14,0
631,9,0,40,53,0,318
632,10,0,181,0,2,154
633,0,0,369,0,2,39
634,0,0,215,6,3,69
635,0,0,144,13,0,208
636,0,0,308,0,13,94
637,0,0,240,28,52,19
638,0,0,310,8,8,64
639,0,1,228,64,21,0
640,0,1,203,38,2,15
641,6,0,198,17,0,3
642,0,0,361,13,0,0
643,0,0,360,5,0,2
644,4,0,367,0,38,0
645,0,0,312,0,66,4
646,0,0,394,0,0,5
647,12,0,197,0,0,155
648,0,0,61,380,0,2
649,0,0,136,370,1,0
650,0,0,195,191,0,13
651,1,2,281,16,0,6
652,3,1,213,8,45,4
653,1,0,298,28,0,22
654,0,0,379,2,0,12
655,0,2,219,95,1,0
656,0,2,28,374,0,6
657,5,0,227,99,12,11
658,26,1,229,54,0,0
659,3,1,96,29,0,90
660,11,1,133,76,0,47
661,0,0,278,12,0,1
662,0,0,392,1,31,2
663,0,0,76,0,365,8
664,0,0,109,109,236,0
665,0,0,3,467,0,10
666,0,0,29,412,0,2
667,0,0,66,265,13,32
668,0,0,147,0,6,255
669,0,0,280,0,25,63
670,0,0,232,9,0,77
671,0,0,533,0,0,0
672,0,0,634,0,0,0
673,38,0,357,33,0,0
674,0,0,394,115,0,0
675,1,0,59,310,0,0
676,0,0,330,112,0,7
677,0,4,139,179,0,0
678,15,6,24,371,0,0
679,2,7,91,303,0,3
680,6,0,26,411,0,0
681,6,0,2,430,2,0
682,1,0,0,554,0,0
683,16,0,69,309,3,0
684,0,0,174,45,35,0
685,0,0,194,26,0,172
686,2,0,138,162,0,104
687,7,0,287,20,0,36
688,0,0,336,1,0,47
689,0,2,126,4,0,223
690,0,0,302,0,0,171
691,0,0,106,347,11,2
692,0,0,198,136,43,1
693,0,0,254,0,115,3
694,0,0,233,0,36,81
695,1,0,214,1,5,105
696,0,1,309,3,0,49
697,0,0,381,0,0,10
698,0,0,369,11,3,5
699,5,0,142,113,27,33
700,0,0,185,141,0,13
701,0,0,298,18,0,101
702,0,0,88,244,0,0
703,4,1,182,212,0,0
704,0,1,150,224,0,0
705,0,0,341,0,0,97
706,0,0,115,18,0,244
707,4,0,345,12,4,4
708,0,0,469,0,0,5
709,5,0,218,146,5,0
710,11,0,163,66,1,0
711,0,0,226,55,19,0
712,1,1,230,11,0,30
713,0,0,89,27,0,240
714,7,3,243,43,3,0
715,0,0,280,27,0,11
716,0,1,254,20,12,55
717,0,0,102,97,215,3
718,39,2,97,21,257,4
719,0,0,64,120,302,0
720,0,0,2,130,404,0
721,1,0,39,74,398,0
722,9,0,164,1,242,19
723,0,0,334,0,36,61
724,0,4,98,8,154,49
725,2,0,219,60,129,1
726,33,0,498,0,20,0
727,26,0,399,0,0,35
728,4,0,259,296,0,0
729,0,2,48,430,0,0
730,0,0,33,429,0,1
731,0,0,285,103,0,1
732,0,0,363,36,14,1
733,0,0,428,13,0,0
734,4,0,149,215,0,0
735,0,0,128,223,0,0
736,0,1,284,54,1,7
737,0,0,166,77,80,0
738,2,2,89,153,40,0
739,0,1,379,5,0,0
740,0,1,371,8,0,2
741,2,9,324,7,0,0
742,0,0,433,0,0,21
743,0,0,486,0,0,3
744,0,0,306,85,0,11
745,0,0,95,214,0,0
746,3,0,228,77,0,0
747,0,0,308,61,5,0
748,0,0,481,0,0,27
749,0,0,336,150,0,0
750,0,0,446,3,0,0
751,7,0,406,5,0,4
752,0,0,198,54,13,2
753,0,0,353,13,0,19
754,0,0,109,0,0,199
755,1,0,107,80,0,97
756,13,0,210,0,0,45
757,2,2,243,5,0,6
758,65,1,202,4,0,7
759,0,0,371,0,1,20
760,1,1,145,197,0,1
761,0,2,373,19,0,2
762,5,0,367,53,0,0
763,20,0,71,316,0,0
764,0,0,153,324,0,0
765,0,0,331,128,4,0
766,10,0,176,9,47,3
767,0,0,326,0,37,16
768,33,0,204,9,20,0
769,183,0,231,2,0,0
770,16,0,117,15,88,70
771,0,0,94,136,9,7
772,3,2,108,248,25,0
773,0,0,75,162,89,0
774,0,1,35,349,12,16
775,3,0,205,183,0,0
776,1,1,202,182,0,7
777,0,0,227,32,15,56
778,0,0,96,232,45,0
779,2,0,282,24,6,28
780,26,2,191,8,15,1
781,1,0,346,0,8,29
782,9,0,233,107,6,4
783,2,0,31,348,0,9
784,36,0,45,406,0,0
785,51,0,101,144,0,4
786,0,0,298,0,45,0
787,0,0,330,0,15,0
788,0,0,295,0,29,0
789,3,0,227,6,35,0
790,0,0,305,0,28,0
791,102,0,346,3,0,0
792,59,0,168,40,1,0
793,0,0,296,29,0,45
794,1,0,264,6,0,60
795,1,0,365,0,50,0
796,19,0,423,8,1,15
797,0,0,521,0,0,8
798,0,0,320,17,0,10
799,0,0,495,1,0,11
800,1,0,346,0,0,55
801,0,0,260,83,0,15
802,0,0,313,2,0,15
803,0,0,404,36,0,7
804,0,0,578,0,11,0
805,0,0,183,27,67,36
806,0,0,309,0,41,10
807,0,0,380,0,0,2
808,2,1,271,3,0,59
809,2,1,237,7,0,35
810,20,0,207,1,9,135
811,4,0,152,5,5,118
812,0,12,155,108,0,0
813,1,0,339,58,0,0
814,0,0,207,85,0,0
815,9,0,280,1,0,12
816,5,0,139,5,0,255
817,5,0,53,315,0,24
818,0,0,201,173,1,7
819,0,0,381,0,18,10
820,0,1,450,0,4,17
821,0,2,469,0,0,0
822,2,1,269,0,1,66
823,150,0,290,0,10,0
824,48,2,153,63,0,31
825,0,1,108,100,0,37
826,5,0,135,186,0,6
827,0,17,32,201,6,25
828,0,26,111,66,0,13
829,6,13,61,169,2,1
830,0,0,42,382,8,0
831,0,3,82,77,59,58
832,0,0,45,383,0,0
833,10,0,134,301,0,0
834,26,0,142,210,17,1
835,26,0,142,210,17,1
836,19,0,189,51,136,0
837,19,0,189,51,136,0
838,0,0,137,94,96,0
839,1,0,147,16,360,0
840,3,0,60,114,23,78
841,7,0,9,388,0,1
842,8,0,45,476,0,1
843,0,0,84,301,0,40
844,0,0,395,0,0,17
845,0,0,283,0,1,0
846,0,0,349,7,0,1
847,0,1,316,4,14,0
848,0,0,278,105,3,0
849,33,0,328,94,0,0
850,0,0,169,199,0,0
851,0,1,183,0,62,61
852,0,0,122,0,91,160
853,0,0,228,0,218,23
854,0,0,96,38,155,71
855,0,0,287,0,149,0
856,0,0,175,0,133,23
857,0,0,212,0,122,33
858,3,0,327,0,102,33
859,0,0,516,3,0,4
860,0,1,238,84,0,0
861,0,0,213,106,1,10
862,0,0,256,3,160,0
863,0,0,431,0,2,0
864,0,0,463,5,0,0
865,0,0,368,50,0,1
866,0,0,253,156,0,1
867,2,0,344,0,0,88
868,0,0,227,0,7,143
869,0,0,341,0,0,118
870,5,1,361,2,0,1
871,0,0,417,0,0,7
872,1,0,317,7,0,11
873,0,0,380,0,36,12
874,0,0,44,0,0,402
875,3,0,135,116,0,102
876,20,0,50,302,0,0
877,0,0,247,169,0,0
878,0,0,345,0,0,3
879,0,0,291,6,0,6
880,36,0,272,7,6,8
881,0,0,328,24,1,5
882,0,0,163,217,0,90
883,1,0,18,329,0,37
884,6,7,72,231,0,1
885,0,32,169,5,0,0
886,0,78,32,4,0,3
887,1,44,82,71,1,0
888,0,1,32,198,0,18
889,2,1,38,272,0,0
890,0,0,104,375,0,0
891,2,0,71,325,0,0
892,3,0,38,276,69,1
893,3,0,38,276,69,1
894,16,0,335,1,39,1
895,16,0,335,1,39,1
896,0,0,266,73,1,0
897,0,0,218,26,47,1
898,0,2,100,37,42,13
899,0,0,122,196,29,0
900,0,19,27,372,0,0
901,4,6,29,507,0,17
902,0,0,79,85,82,89
903,0,0,155,112,6,15
904,0,0,315,11,0,6
905,0,0,158,108,0,0
906,1,0,258,80,4,1
907,0,0,232,56,37,1
908,13,0,97,265,6,0
909,0,0,6,427,0,0
910,0,0,490,0,0,17
911,0,0,261,0,0,126
912,0,0,297,0,6,106
913,0,0,429,0,47,28
914,0,0,289,14,15,9
915,0,0,278,47,11,14
916,0,0,448,2,6,7
917,0,0,359,0,127,8
918,0,0,228,0,137,9
919,0,0,280,1,0,15
920,5,0,38,37,160,131
921,2,0,244,6,142,83
922,5,0,446,2,30,12
923,96,0,392,0,0,0
924,0,0,382,0,4,6
925,0,0,408,6,0,8
926,13,0,298,80,0,5
927,21,0,266,0,8,38
928,28,0,189,0,0,196
929,2,0,239,3,0,111
930,0,0,366,28,0,19
931,1,1,168,19,21,88
932,0,0,360,0,74,1
933,0,0,339,0,22,33
934,0,0,338,32,0,0
935,0,2,233,106,0,1
936,0,2,305,61,0,2
937,0,0,497,1,0,1
938,0,0,454,0,0,3
939,4,0,269,50,0,24
940,4,1,120,223,0,1
941,0,0,132,284,0,0
942,14,0,11,404,0,0
943,0,10,61,235,2,0
944,0,34,63,41,0,0
945,0,113,14,42,0,0
946,1,32,102,35,0,23
947,0,1,136,102,0,0
948,0,2,206,138,0,2
949,0,0,87,164,0,113
950,0,0,137,83,0,12
951,23,0,121,32,77,12
952,23,0,121,32,77,12
953,5,0,184,24,4,98
954,0,0,138,154,0,14
955,0,0,167,12,56,0
956,2,1,36,152,184,0
957,0,0,108,173,193,0
958,0,0,361,1,0,50
959,0,0,97,92,0,163
960,0,62,27,232,0,0
961,25,296,18,65,0,0
962,12,55,90,145,87,19
963,0,0,25,275,28,11
964,1,0,50,363,0,2
965,0,0,346,40,0,0
966,14,0,193,175,2,0
967,0,0,260,41,4,0
968,33,0,219,129,20,0
969,4,0,249,247,3,0
970,0,0,57,315,0,0
971,0,1,468,0,0,0
972,0,0,442,0,0,29
973,0,0,269,0,0,108
974,0,0,467,2,0,0
975,0,0,122,54,0,181
976,1,0,257,86,0,0
977,0,0,373,0,0,35
978,0,0,451,0,21,27
979,0,0,292,0,69,0
980,0,0,229,6,93,1
981,0,0,92,19,88,222
982,0,0,25,60,144,145
983,6,0,381,0,46,4
984,23,0,472,0,0,25
985,7,0,274,2,8,69
986,0,0,351,33,0,20
987,0,0,150,264,0,0
988,24,0,219,36,6,0
989,28,0,154,23,32,80
990,10,0,101,0,42,119
991,0,0,288,0,73,0
992,0,0,314,0,58,1
993,0,0,431,0,28,3
994,0,0,283,0,18,34
995,0,0,200,1,0,146
